,name,author,year_birth,year_death,popularity,subjects_list,graph_size,central_graph_size,fluidity_total,fluidity_central,subjects_list_separated,category_community,similarity_community,graph_size_ratio,main_character_importance,second_character_importance,main_character,second_character
543,"The Life, Adventures & Piracies of the Famous Captain Singleton",Daniel Defoe,1660,1731,222,"['Adventure and adventurers -- Fiction', 'Crusoe, Robinson (Fictitious character) -- Fiction']",91,17,177,492,"['Adventure and adventurers', 'Fiction', 'Crusoe, Robinson (Fictitious character)']",67,17,0.18681318681318682,0.10025034903270154,0.07521801708355667,William,Singleton
544,The True-Born Englishman,Daniel Defoe,1660,1731,92,"['Great Britain -- Politics and government -- 1689-1702', 'National characteristics, English']",56,17,94,367,"['Great Britain', 'Politics and government', 'National characteristics, English', '1689-1702']",-1,17,0.30357142857142855,0.05569978211487645,0.04717031586809478,William,Ziba
545,"Tour through the Eastern Counties of England, 1722",Daniel Defoe,1660,1731,112,['England -- Description and travel -- Early works to 1800'],223,63,505,1286,"['England', 'Early works to 1800', 'Description and travel']",-1,17,0.2825112107623318,0.029848909995946107,0.02522671897226192,Lynn,Duke
546,Edgar Allan Poe's Complete Poetical Works,Edgar Allan Poe,1809,1849,667,"['Fantasy poetry, American']",204,43,386,873,"['Fantasy poetry, American']",-1,17,0.2107843137254902,0.11397241646296863,0.020919156774032645,Poe,Wordsworth
547,Eureka,Edgar Allan Poe,1809,1849,462,['Cosmology'],164,55,355,688,['Cosmology'],-1,17,0.3353658536585366,0.01946829999522003,0.01616950965209278,Leigh Hunt,Mill
548,The Cask of Amontillado,Edgar Allan Poe,1809,1849,2771,"['Horror tales, American', 'Revenge -- Fiction']",5,2,14,15,"['Horror tales, American', 'Fiction', 'Revenge']",34,21,0.4,0.2936635209815016,0.27542132905695016,Fortunato,Sherry
549,The Fall of the House of Usher,Edgar Allan Poe,1809,1849,110,"['Great Britain -- History -- Henry III, 1216-1272 -- Fiction', 'Historical fiction', 'Outlaws -- Fiction']",17,7,26,55,"['History', 'Historical fiction', 'Henry III, 1216-1272', 'Great Britain', 'Outlaws', 'Fiction']",34,35,0.4117647058823529,0.10731319554848966,0.07352941176470588,Roderick Usher,Swedenborg
550,The Masque of the Red Death,Edgar Allan Poe,1809,1849,6097,"['Horror tales, American']",3,2,0,2,"['Horror tales, American']",32,21,0.6666666666666666,0.33333333333333337,0.33333333333333326,Hernani,Prospero
551,The Raven,Edgar Allan Poe,1809,1849,320,"['Fantasy poetry, American', 'Ravens -- Poetry']",3,2,8,6,"['Fantasy poetry, American', 'Poetry', 'Ravens']",-1,21,0.6666666666666666,0.4864864864864864,0.25675675675675685,Lenore,Seraphim
552,The Works of Edgar Allan Poe Volume 1,Edgar Allan Poe,1809,1849,125,['Science fiction'],204,43,394,1145,['Science fiction'],34,17,0.2107843137254902,0.0685528710514576,0.042180924997709146,Poe,Marie
553,The Works of Edgar Allan Poe Volume 2,Edgar Allan Poe,1809,1849,125,['Science fiction'],153,43,213,641,['Science fiction'],34,17,0.28104575163398693,0.027051582238573863,0.020818244549516144,Von Kempelen,Berenice
554,The Works of Edgar Allan Poe Volume 3,Edgar Allan Poe,1809,1849,125,['Science fiction'],163,33,342,1075,['Science fiction'],34,17,0.20245398773006135,0.05636537909787912,0.05355098157357037,Augustus,Peters
555,The Works of Edgar Allan Poe Volume 4,Edgar Allan Poe,1809,1849,125,['Science fiction'],287,72,558,1348,['Science fiction'],34,17,0.2508710801393728,0.031483439819462326,0.017969641548546526,Smith,Duc
556,The Works of Edgar Allan Poe Volume 5,Edgar Allan Poe,1809,1849,125,['Science fiction'],286,72,504,1396,['Science fiction'],34,17,0.2517482517482518,0.02180245503703023,0.017667963310098875,Bon - Bon,Poe
557,A Princess of Mars,Edgar Rice Burroughs,1875,1950,1674,"['Carter, John (Fictitious character) -- Fiction', 'Dejah Thoris (Fictitious character) -- Fiction', 'Mars (Planet) -- Fiction', 'Princesses -- Fiction', 'Science fiction']",34,5,166,253,"['Princesses', 'Mars (Planet)', 'Dejah Thoris (Fictitious character)', 'Science fiction', 'Fiction', 'Carter, John (Fictitious character)']",34,21,0.14705882352941177,0.17995992054885893,0.10089539959547143,Dejah Thoris,Tars Tarkas
558,At the Earth's Core,Edgar Rice Burroughs,1875,1950,61,"['Adventure stories', 'Earth (Planet) -- Core -- Fiction', 'Fantasy fiction', 'Science fiction']",28,3,142,251,"['Earth (Planet)', 'Adventure stories', 'Fantasy fiction', 'Core', 'Science fiction', 'Fiction']",34,21,0.10714285714285714,0.22469281243051306,0.1541935399675894,Perry,Dian
559,Jungle Tales of Tarzan,Edgar Rice Burroughs,1875,1950,173,"['Adventure stories', 'Africa -- Fiction', 'Apes -- Fiction', 'Fantasy fiction', 'Jungles -- Fiction', 'Tarzan (Fictitious character) -- Fiction']",66,7,376,436,"['Apes', 'Jungles', 'Tarzan (Fictitious character)', 'Adventure stories', 'Fantasy fiction', 'Fiction', 'Africa']",34,21,0.10606060606060606,0.1935546230316401,0.09163384544039471,Tarzan,Teeka
560,Out of Time's Abyss,Edgar Rice Burroughs,1875,1950,125,['Science fiction'],49,7,195,397,['Science fiction'],34,21,0.14285714285714285,0.2506828782390364,0.06625949446851244,Bradley,Brady
561,Pellucidar,Edgar Rice Burroughs,1875,1950,162,"['Adventure stories', 'Earth (Planet) -- Core -- Fiction', 'Science fiction']",35,6,194,308,"['Earth (Planet)', 'Core', 'Adventure stories', 'Science fiction', 'Fiction']",34,21,0.17142857142857143,0.15573256581768535,0.11517725610883597,Dian,Perry
562,Tarzan and the Jewels of Opar,Edgar Rice Burroughs,1875,1950,180,"['Adventure stories', 'Fantasy fiction', 'Tarzan (Fictitious character) -- Fiction']",39,5,254,294,"['Fantasy fiction', 'Tarzan (Fictitious character)', 'Adventure stories', 'Fiction']",34,21,0.1282051282051282,0.18391039587022692,0.15717434651479648,Werper,Tarzan
563,Tarzan of the Apes,Edgar Rice Burroughs,1875,1950,1367,"['Adventure stories', 'Africa -- Fiction', 'British -- Africa -- Fiction', 'Fantasy fiction', 'Tarzan (Fictitious character) -- Fiction', 'Wild men -- Fiction']",77,6,319,733,"['Tarzan (Fictitious character)', 'Adventure stories', 'Wild men', 'Fantasy fiction', 'British', 'Fiction', 'Africa']",34,21,0.07792207792207792,0.13670052572516833,0.12074203221584401,Jane,Clayton
564,Tarzan the Terrible,Edgar Rice Burroughs,1875,1950,238,"['Adventure stories', 'Fantasy fiction', 'Tarzan (Fictitious character) -- Fiction']",73,5,296,511,"['Fantasy fiction', 'Tarzan (Fictitious character)', 'Adventure stories', 'Fiction']",34,21,0.0684931506849315,0.15620546103282756,0.13297467553997872,Lu - don,Jad - ben - Otho
565,Tarzan the Untamed,Edgar Rice Burroughs,1875,1950,146,"['Adventure stories', 'Fantasy fiction', 'Tarzan (Fictitious character) -- Fiction']",77,7,330,729,"['Fantasy fiction', 'Tarzan (Fictitious character)', 'Adventure stories', 'Fiction']",34,21,0.09090909090909091,0.2199633127573776,0.09203444995994814,Tarzan,Numa
566,The Beasts of Tarzan,Edgar Rice Burroughs,1875,1950,220,"['Adventure stories', 'Fantasy fiction', 'Jungle animals -- Fiction', 'Tarzan (Fictitious character) -- Fiction']",47,5,198,353,"['Jungle animals', 'Tarzan (Fictitious character)', 'Adventure stories', 'Fantasy fiction', 'Fiction']",34,21,0.10638297872340426,0.1690473251771154,0.12100325358354892,Tarzan,Rokoff
567,The Chessmen of Mars,Edgar Rice Burroughs,1875,1950,110,"['Great Britain -- History -- Henry III, 1216-1272 -- Fiction', 'Historical fiction', 'Outlaws -- Fiction']",53,3,224,463,"['History', 'Historical fiction', 'Henry III, 1216-1272', 'Great Britain', 'Outlaws', 'Fiction']",34,21,0.05660377358490566,0.2443093799530318,0.19484194151568593,Tara,Gahan
568,The Efficiency Expert,Edgar Rice Burroughs,1875,1950,62,"['Chicago (Ill.) -- Fiction', 'College graduates -- Fiction', 'Gangsters -- Fiction']",49,3,209,359,"['Chicago (Ill.)', 'College graduates', 'Fiction', 'Gangsters']",34,21,0.061224489795918366,0.2529845517060909,0.16471187781687543,Jimmy,Compton
569,The Gods of Mars,Edgar Rice Burroughs,1875,1950,463,"['Carter, John (Fictitious character) -- Fiction', 'Dejah Thoris (Fictitious character) -- Fiction', 'Life on other planets -- Fiction', 'Mars (Planet) -- Fiction', 'Science fiction']",51,6,245,475,"['Life on other planets', 'Mars (Planet)', 'Dejah Thoris (Fictitious character)', 'Science fiction', 'Fiction', 'Carter, John (Fictitious character)']",34,21,0.11764705882352941,0.11272080230794135,0.08918139469128909,John Carter,Dejah Thoris
570,The Land That Time Forgot,Edgar Rice Burroughs,1875,1950,378,"['Dinosaurs -- Fiction', 'Lost continents -- Fiction', 'Prehistoric peoples -- Fiction', 'Science fiction']",45,6,166,455,"['Prehistoric peoples', 'Lost continents', 'Dinosaurs', 'Science fiction', 'Fiction']",34,21,0.13333333333333333,0.15552235297714406,0.14628932404344888,Bradley,Olson
571,The Lost Continent,Edgar Rice Burroughs,1875,1950,158,"['England -- Fiction', 'Fantasy fiction', 'Science fiction']",39,12,102,378,"['England', 'Fantasy fiction', 'Science fiction', 'Fiction']",34,17,0.3076923076923077,0.06034190049163692,0.05997721412842705,Snider,Taylor
572,The Mad King,Edgar Rice Burroughs,1875,1950,97,"['Adventure stories', 'Fantasy fiction', 'Impostors and imposture -- Fiction', 'Kings and rulers -- Fiction', 'Mistaken identity -- Fiction']",58,3,253,348,"['Adventure stories', 'Fiction', 'Kings and rulers', 'Fantasy fiction', 'Impostors and imposture', 'Mistaken identity']",34,21,0.05172413793103448,0.24322050177917584,0.1861710031557001,Leopold,Barney
573,The Monster Men,Edgar Rice Burroughs,1875,1950,118,"['Fantasy fiction', 'Science fiction']",37,5,178,278,"['Fantasy fiction', 'Science fiction']",34,21,0.13513513513513514,0.1842550044163425,0.14358431687254444,von Horn,Maxon
574,The Mucker,Edgar Rice Burroughs,1875,1950,125,"['Adventure stories', 'Fiction']",144,7,480,1091,"['Adventure stories', 'Fiction']",34,21,0.04861111111111111,0.227749172473443,0.11327293525648147,Billy,Barbara
575,The Oakdale Affair,Edgar Rice Burroughs,1875,1950,79,"['Adventure stories', 'Mystery fiction']",60,8,199,520,"['Adventure stories', 'Mystery fiction']",34,17,0.13333333333333333,0.1056705557250774,0.08247864073237529,Burton,Abigail
576,The Outlaw of Torn,Edgar Rice Burroughs,1875,1950,110,"['Great Britain -- History -- Henry III, 1216-1272 -- Fiction', 'Historical fiction', 'Outlaws -- Fiction']",98,10,474,752,"['History', 'Historical fiction', 'Henry III, 1216-1272', 'Great Britain', 'Outlaws', 'Fiction']",34,21,0.10204081632653061,0.16484837761330773,0.05808423672804059,Norman of Torn,De Montfort
577,The People that Time Forgot,Edgar Rice Burroughs,1875,1950,117,"['Lost continents -- Fiction', 'Science fiction']",47,8,192,548,"['Science fiction', 'Fiction', 'Lost continents']",34,17,0.1702127659574468,0.15399540897595854,0.08005485273199239,Bowen,Kro - lu
578,The Return of Tarzan,Edgar Rice Burroughs,1875,1950,404,"['Adventure stories', 'Fantasy fiction', 'Tarzan (Fictitious character) -- Fiction']",84,9,404,732,"['Fantasy fiction', 'Tarzan (Fictitious character)', 'Adventure stories', 'Fiction']",34,21,0.10714285714285714,0.16188763151524949,0.0666411342645003,Tarzan,Rokoff
579,The Son of Tarzan,Edgar Rice Burroughs,1875,1950,179,"['Adventure stories', 'Fantasy fiction', 'Tarzan (Fictitious character) -- Fiction']",71,8,266,633,"['Fantasy fiction', 'Tarzan (Fictitious character)', 'Adventure stories', 'Fiction']",34,21,0.11267605633802817,0.15294838772986774,0.1148604726692083,Meriem,Korak
580,"Thuvia, Maid of Mars",Edgar Rice Burroughs,1875,1950,304,"['Mars (Planet) -- Fiction', 'Martians -- Fiction', 'Science fiction']",64,7,297,479,"['Mars (Planet)', 'Science fiction', 'Martians', 'Fiction']",34,21,0.109375,0.14662271200989016,0.08006492125046055,Carthoris,Astok
581,Warlord of Mars,Edgar Rice Burroughs,1875,1950,336,"['Carter, John (Fictitious character) -- Fiction', 'Dejah Thoris (Fictitious character) -- Fiction', 'Mars (Planet) -- Fiction', 'Science fiction']",35,6,244,323,"['Mars (Planet)', 'Dejah Thoris (Fictitious character)', 'Science fiction', 'Fiction', 'Carter, John (Fictitious character)']",34,40,0.17142857142857143,0.10227224054590137,0.09566826359249236,Jeddak,Dejah Thoris
582,Burke's Speech on Conciliation with America,Edmund Burke,1729,1797,213,"['Great Britain -- Colonies -- America -- Early works to 1800', 'United States -- Politics and government -- 1775-1783']",71,11,170,480,"['America', 'Great Britain', 'United States', 'Politics and government', '1775-1783', 'Colonies', 'Early works to 1800']",-1,17,0.15492957746478872,0.2391647406171799,0.06342862161266283,Burke,Johnson
583,Selections from the Speeches and Writings of Edmund Burke,Edmund Burke,1729,1797,389,"['Burke, Edmund, 1729-1797', 'Essays', 'Political science', 'Speeches, addresses, etc.']",198,42,363,811,"['Political science', 'Burke, Edmund, 1729-1797', 'Essays', 'Speeches, addresses, etc.']",35,17,0.21212121212121213,0.09669205491521976,0.02564821350410821,Burke,William
584,"The Works of the Right Honourable Edmund Burke, Vol. 01 (of 12)",Edmund Burke,1729,1797,80,"['Authors, English -- Early modern, 1500-1700 -- Biography', 'Bunyan, John, 1628-1688', 'Puritans -- England -- Clergy -- Biography']",136,39,185,440,"['England', 'Bunyan, John, 1628-1688', 'Clergy', 'Puritans', 'Biography', 'Early modern, 1500-1700', 'Authors, English']",-1,17,0.2867647058823529,0.023044714432602365,0.02232882147000489,Henry,Burke
585,"The Works of the Right Honourable Edmund Burke, Vol. 02 (of 12)",Edmund Burke,1729,1797,80,"['Authors, English -- Early modern, 1500-1700 -- Biography', 'Bunyan, John, 1628-1688', 'Puritans -- England -- Clergy -- Biography']",184,44,330,1004,"['England', 'Bunyan, John, 1628-1688', 'Clergy', 'Puritans', 'Biography', 'Early modern, 1500-1700', 'Authors, English']",-1,17,0.2391304347826087,0.03957909316095133,0.026657874633348223,Hastings,Burke
586,"The Works of the Right Honourable Edmund Burke, Vol. 03 (of 12)",Edmund Burke,1729,1797,80,"['Authors, English -- Early modern, 1500-1700 -- Biography', 'Bunyan, John, 1628-1688', 'Puritans -- England -- Clergy -- Biography']",191,30,408,1098,"['England', 'Bunyan, John, 1628-1688', 'Clergy', 'Puritans', 'Biography', 'Early modern, 1500-1700', 'Authors, English']",-1,17,0.15706806282722513,0.06415270865338524,0.050688436852969025,Benfield,Tanjore
587,"The Works of the Right Honourable Edmund Burke, Vol. 04 (of 12)",Edmund Burke,1729,1797,80,"['Authors, English -- Early modern, 1500-1700 -- Biography', 'Bunyan, John, 1628-1688', 'Puritans -- England -- Clergy -- Biography']",159,35,284,779,"['England', 'Bunyan, John, 1628-1688', 'Clergy', 'Puritans', 'Biography', 'Early modern, 1500-1700', 'Authors, English']",-1,17,0.22012578616352202,0.07520091898903175,0.055502481835110154,Burke,Fox
588,"The Works of the Right Honourable Edmund Burke, Vol. 05 (of 12)",Edmund Burke,1729,1797,80,"['Authors, English -- Early modern, 1500-1700 -- Biography', 'Bunyan, John, 1628-1688', 'Puritans -- England -- Clergy -- Biography']",181,38,318,747,"['England', 'Bunyan, John, 1628-1688', 'Clergy', 'Puritans', 'Biography', 'Early modern, 1500-1700', 'Authors, English']",-1,17,0.20994475138121546,0.09558441061112732,0.03699630329315381,Fox,Louis the Sixteenth
589,"The Works of the Right Honourable Edmund Burke, Vol. 06 (of 12)",Edmund Burke,1729,1797,80,"['Authors, English -- Early modern, 1500-1700 -- Biography', 'Bunyan, John, 1628-1688', 'Puritans -- England -- Clergy -- Biography']",147,38,264,566,"['England', 'Bunyan, John, 1628-1688', 'Clergy', 'Puritans', 'Biography', 'Early modern, 1500-1700', 'Authors, English']",-1,17,0.2585034013605442,0.06911767926528872,0.018957836192020787,Burke,Pery
590,"The Works of the Right Honourable Edmund Burke, Vol. 07 (of 12)",Edmund Burke,1729,1797,80,"['Authors, English -- Early modern, 1500-1700 -- Biography', 'Bunyan, John, 1628-1688', 'Puritans -- England -- Clergy -- Biography']",254,45,603,1283,"['England', 'Bunyan, John, 1628-1688', 'Clergy', 'Puritans', 'Biography', 'Early modern, 1500-1700', 'Authors, English']",-1,17,0.17716535433070865,0.06304329309536305,0.02976349689907044,Henry,William
591,"The Works of the Right Honourable Edmund Burke, Vol. 08 (of 12)",Edmund Burke,1729,1797,80,"['Authors, English -- Early modern, 1500-1700 -- Biography', 'Bunyan, John, 1628-1688', 'Puritans -- England -- Clergy -- Biography']",200,17,558,1237,"['England', 'Bunyan, John, 1628-1688', 'Clergy', 'Puritans', 'Biography', 'Early modern, 1500-1700', 'Authors, English']",-1,21,0.085,0.17755452166172292,0.03995579956186375,Hastings,Francis
592,"The Works of the Right Honourable Edmund Burke, Vol. 09 (of 12)",Edmund Burke,1729,1797,80,"['Authors, English -- Early modern, 1500-1700 -- Biography', 'Bunyan, John, 1628-1688', 'Puritans -- England -- Clergy -- Biography']",183,14,552,1029,"['England', 'Bunyan, John, 1628-1688', 'Clergy', 'Puritans', 'Biography', 'Early modern, 1500-1700', 'Authors, English']",-1,21,0.07650273224043716,0.24863845365850612,0.035318328948880734,Warren Hastings,Oude
593,"The Works of the Right Honourable Edmund Burke, Vol. 10 (of 12)",Edmund Burke,1729,1797,80,"['Authors, English -- Early modern, 1500-1700 -- Biography', 'Bunyan, John, 1628-1688', 'Puritans -- England -- Clergy -- Biography']",136,10,486,961,"['England', 'Bunyan, John, 1628-1688', 'Clergy', 'Puritans', 'Biography', 'Early modern, 1500-1700', 'Authors, English']",-1,21,0.07352941176470588,0.24236749605004115,0.05353600460177875,Hastings,Munny Begum
594,"The Works of the Right Honourable Edmund Burke, Vol. 11 (of 12)",Edmund Burke,1729,1797,80,"['Authors, English -- Early modern, 1500-1700 -- Biography', 'Bunyan, John, 1628-1688', 'Puritans -- England -- Clergy -- Biography']",273,44,696,1584,"['England', 'Bunyan, John, 1628-1688', 'Clergy', 'Puritans', 'Biography', 'Early modern, 1500-1700', 'Authors, English']",-1,21,0.16117216117216118,0.12863448514612494,0.046216407082213244,Hastings,Markham
595,"The Works of the Right Honourable Edmund Burke, Vol. 12 (of 12)",Edmund Burke,1729,1797,80,"['Authors, English -- Early modern, 1500-1700 -- Biography', 'Bunyan, John, 1628-1688', 'Puritans -- England -- Clergy -- Biography']",396,53,1132,2205,"['England', 'Bunyan, John, 1628-1688', 'Clergy', 'Puritans', 'Biography', 'Early modern, 1500-1700', 'Authors, English']",-1,21,0.13383838383838384,0.11928666543995445,0.032381873634340023,Hastings,Middleton
596,Thoughts on the Present Discontents,Edmund Burke,1729,1797,109,['Great Britain -- Politics and government -- 1760-1789'],45,10,68,233,"['Great Britain', '1760-1789', 'Politics and government']",-1,17,0.2222222222222222,0.13815631698184802,0.05251527793418312,Burke,Richard
597,A Lost Leader,Edward Phillips Oppenheim,1866,1946,15,['Detective and mystery stories'],73,3,260,617,['Detective and mystery stories'],27,21,0.0410958904109589,0.24780621884837925,0.21172332390849485,Mannering,Borrowdean
598,A Maker of History,Edward Phillips Oppenheim,1866,1946,22,['Spy stories'],296,40,726,930,['Spy stories'],42,21,0.13513513513513514,0.08256463451964191,0.03304259432144137,Duncombe,Spencer
599,A Millionaire of Yesterday,Edward Phillips Oppenheim,1866,1946,20,"['Detective and mystery stories', 'Fiction']",74,3,250,535,"['Detective and mystery stories', 'Fiction']",27,21,0.04054054054054054,0.29943696043371276,0.1130916410845579,Trent,Monty
600,A Monk of Cruta,Edward Phillips Oppenheim,1866,1946,24,"['Detective and mystery stories', 'Fiction']",67,6,251,526,"['Detective and mystery stories', 'Fiction']",27,21,0.08955223880597014,0.24130570857082606,0.09354674142447075,Paul,Adrea
601,A People's Man,Edward Phillips Oppenheim,1866,1946,20,['Detective and mystery stories'],67,5,270,463,['Detective and mystery stories'],27,21,0.07462686567164178,0.2579287848370206,0.09404173703430078,Maraton,Foley
602,A Prince of Sinners,Edward Phillips Oppenheim,1866,1946,17,"['England -- Social life and customs -- Fiction', 'Fathers and sons -- Fiction', 'Nobility -- Fiction', 'Young men -- Fiction']",123,4,454,1077,"['England', 'Young men', 'Fathers and sons', 'Social life and customs', 'Nobility', 'Fiction']",34,21,0.032520325203252036,0.2298220414516909,0.1088166263005667,Brooks,Arranmore
603,An Amiable Charlatan,Edward Phillips Oppenheim,1866,1946,25,['Detective and mystery stories'],76,6,266,573,['Detective and mystery stories'],27,21,0.07894736842105263,0.21456906779560103,0.08909804236641676,Bundercombe,Parker
604,Anna the Adventuress,Edward Phillips Oppenheim,1866,1946,15,"['Man-woman relationships -- Fiction', 'Sisters -- Fiction']",68,4,266,526,"['Sisters', 'Man-woman relationships', 'Fiction']",34,21,0.058823529411764705,0.21401494704763666,0.1171358250269775,Anna,Annabel
605,Berenice,Edward Phillips Oppenheim,1866,1946,37,['Detective and mystery stories'],35,5,121,360,['Detective and mystery stories'],27,21,0.14285714285714285,0.20535391113812865,0.11247336059199019,Matravers,Berenice
606,Havoc,Edward Phillips Oppenheim,1866,1946,34,"['Detective and mystery stories', 'Fiction', 'Spy stories']",59,4,234,483,"['Detective and mystery stories', 'Spy stories', 'Fiction']",27,21,0.06779661016949153,0.1953166339516878,0.16644800286826267,Laverick,Bellamy
607,Jacob's Ladder,Edward Phillips Oppenheim,1866,1946,44,"['Detective and mystery stories', 'Fiction']",89,5,275,578,"['Detective and mystery stories', 'Fiction']",27,21,0.056179775280898875,0.2595431709404311,0.11756410308838021,Jacob,Pratt
608,Jeanne of the Marshes,Edward Phillips Oppenheim,1866,1946,36,"['Fiction', 'Spy stories']",53,4,225,307,"['Spy stories', 'Fiction']",27,21,0.07547169811320754,0.14563926758122991,0.135528504293967,Cecil,Jeanne
609,Mr. Grex of Monte Carlo,Edward Phillips Oppenheim,1866,1946,25,"['Detective and mystery stories', 'Monte-Carlo (Monaco) -- Fiction']",96,5,403,767,"['Detective and mystery stories', 'Monte-Carlo (Monaco)', 'Fiction']",27,21,0.052083333333333336,0.21385839629868392,0.08774125610983272,Hunterleys,Draconmeyer
610,Mr. Marx's Secret,Edward Phillips Oppenheim,1866,1946,14,"['Detective and mystery stories', 'Fiction']",102,9,384,906,"['Detective and mystery stories', 'Fiction']",27,17,0.08823529411764706,0.08449327508670063,0.07373544871835555,Cecil,Ravenor
611,Mysterious Mr. Sabin,Edward Phillips Oppenheim,1866,1946,11,"['Detective and mystery stories', 'Fiction']",109,5,358,982,"['Detective and mystery stories', 'Fiction']",27,21,0.045871559633027525,0.18890582348619356,0.1818582132958237,Sabin,Wolfenden
612,Nobody's Man,Edward Phillips Oppenheim,1866,1946,29,['Detective and mystery stories'],98,4,292,691,['Detective and mystery stories'],27,21,0.04081632653061224,0.23976990975134996,0.10611916131102134,Tallente,Dartrey
613,Peter Ruff and the Double Four,Edward Phillips Oppenheim,1866,1946,24,"['Adventure stories', 'Detective and mystery stories', 'Secret societies -- Fiction']",167,11,448,921,"['Detective and mystery stories', 'Adventure stories', 'Fiction', 'Secret societies']",34,21,0.0658682634730539,0.13957758854910696,0.09942031197641653,Peter,Peter Ruff
614,The Avenger,Edward Phillips Oppenheim,1866,1946,33,['Mystery fiction'],63,4,236,521,['Mystery fiction'],34,21,0.06349206349206349,0.28462755322333966,0.08562742924843342,Wrayson,Barnes
615,The Betrayal,Edward Phillips Oppenheim,1866,1946,31,['Detective and mystery stories'],56,5,243,437,['Detective and mystery stories'],27,21,0.08928571428571429,0.15904948689015835,0.132715989239568,Ray,Ducaine
616,The Black Box,Edward Phillips Oppenheim,1866,1946,67,['Detective and mystery stories'],203,26,479,748,['Detective and mystery stories'],27,21,0.12807881773399016,0.10077045059205249,0.07311932828639513,Lenora,Craig
617,The Box with the Broken Seals,Edward Phillips Oppenheim,1866,1946,28,['Detective and mystery stories'],68,5,267,465,['Detective and mystery stories'],27,21,0.07352941176470588,0.16816333199252556,0.13883671210923088,Crawshay,Jocelyn Thew
618,The Cinema Murder,Edward Phillips Oppenheim,1866,1946,39,['Detective and mystery stories'],62,5,235,533,['Detective and mystery stories'],27,21,0.08064516129032258,0.22401550878549722,0.10685729134173154,Philip,Elizabeth
619,The Devil's Paw,Edward Phillips Oppenheim,1866,1946,42,['Detective and mystery stories'],72,5,287,629,['Detective and mystery stories'],27,21,0.06944444444444445,0.22845598540522824,0.11273626912737478,Julian,Fenn
620,The Double Four,Edward Phillips Oppenheim,1866,1946,27,['Secret societies -- Fiction'],79,5,244,697,"['Secret societies', 'Fiction']",34,21,0.06329113924050633,0.22649303991655995,0.0946971800258337,Peter,Bernadine
621,The Double Life Of Mr. Alfred Burton,Edward Phillips Oppenheim,1866,1946,25,['Detective and mystery stories'],72,3,241,643,['Detective and mystery stories'],27,21,0.041666666666666664,0.33595729021106546,0.15642362025083134,Burton,Waddington
622,The Double Traitor,Edward Phillips Oppenheim,1866,1946,31,['Spy stories'],97,5,364,814,['Spy stories'],42,21,0.05154639175257732,0.1756716730999315,0.1458066754838388,Norgate,Selingman
623,The Evil Shepherd,Edward Phillips Oppenheim,1866,1946,30,['Detective and mystery stories'],115,4,380,830,['Detective and mystery stories'],27,21,0.034782608695652174,0.23036439958780242,0.1699468851860724,Francis,Timothy
624,The Governors,Edward Phillips Oppenheim,1866,1946,18,['Detective and mystery stories'],56,5,253,479,['Detective and mystery stories'],27,45,0.08928571428571429,0.12139753044156941,0.11967210154102446,Phineas Duge,Weiss
625,The Great Impersonation,Edward Phillips Oppenheim,1866,1946,59,['Spy stories'],87,6,394,720,['Spy stories'],42,21,0.06896551724137931,0.26846254164198796,0.08772347249357028,Dominey,Everard
626,The Great Prince Shan,Edward Phillips Oppenheim,1866,1946,31,['Political fiction'],53,4,247,335,['Political fiction'],34,21,0.07547169811320754,0.18318001532793782,0.13531100454803166,Nigel,Shan
627,The Great Secret,Edward Phillips Oppenheim,1866,1946,51,['Detective and mystery stories'],92,10,285,822,['Detective and mystery stories'],27,21,0.10869565217391304,0.10207890844611574,0.08901796962824457,Courage,Van Reinberg
628,The Hillman,Edward Phillips Oppenheim,1866,1946,23,"['Detective and mystery stories', 'Fiction']",178,25,411,546,"['Detective and mystery stories', 'Fiction']",27,21,0.1404494382022472,0.1029902206222007,0.07033930263204247,John,Louise
629,The Illustrious Prince,Edward Phillips Oppenheim,1866,1946,18,"['Detective and mystery stories', 'Princes -- Fiction']",80,6,266,787,"['Detective and mystery stories', 'Fiction', 'Princes']",27,21,0.075,0.12373323018274453,0.11308313579989894,Penelope,Coulson
630,The Kingdom of the Blind,Edward Phillips Oppenheim,1866,1946,36,"['Fiction', 'Spy stories']",94,5,363,747,"['Spy stories', 'Fiction']",27,21,0.05319148936170213,0.18995775383287447,0.15641704320576408,Granet,Thomson
631,The Lighted Way,Edward Phillips Oppenheim,1866,1946,45,['Detective and mystery stories'],80,5,294,508,['Detective and mystery stories'],27,21,0.0625,0.2127179162587999,0.11431033896588104,Arnold,Weatherley
632,The Lost Ambassador,Edward Phillips Oppenheim,1866,1946,20,['Spy stories'],76,4,272,642,['Spy stories'],42,21,0.05263157894736842,0.19905153702567283,0.19734326279238237,Delora,Louis
633,The Malefactor,Edward Phillips Oppenheim,1866,1946,35,"['Detective and mystery stories', 'Fiction']",80,3,275,640,"['Detective and mystery stories', 'Fiction']",27,21,0.0375,0.25311577756861664,0.16648083469233171,Wingrave,Aynesworth
634,The Master Mummer,Edward Phillips Oppenheim,1866,1946,13,['Detective and mystery stories'],205,32,502,640,['Detective and mystery stories'],27,21,0.15609756097560976,0.07463014754459199,0.04266171573135125,Isobel,Arnold
