,name,author,year_birth,year_death,popularity,subjects_list,graph_size,central_graph_size,fluidity_total,fluidity_central,subjects_list_separated,category_community,similarity_community,graph_size_ratio,main_character_importance,second_character_importance,main_character,second_character
17,The Secret Adversary,Agatha Christie,1890,1976,2232,"['Beresford, Tommy (Fictitious character) -- Fiction', 'Beresford, Tuppence (Fictitious character) -- Fiction', 'Detective and mystery stories', 'Domestic fiction', 'Married people -- Fiction', 'Missing persons -- Fiction', 'Private investigators -- England -- Fiction']",103,5,401,754,"['Domestic fiction', 'Missing persons', 'Married people', 'Beresford, Tuppence (Fictitious character)', 'Private investigators', 'Fiction', 'Detective and mystery stories', 'Beresford, Tommy (Fictitious character)', 'England']",34,21,0.04854368932038835,0.19289050837681973,0.13647637111620037,Tommy,Julius
18,Relativity_ The Special and General Theory,Albert Einstein,1879,1955,1063,['Relativity (Physics)'],36,13,82,197,['Relativity (Physics)'],-1,17,0.3611111111111111,0.09061002375524917,0.045861078020551144,Lorentz,Einstein
19,Crome Yellow,Aldous Huxley,1894,1963,354,"['Country homes -- Fiction', 'England -- Fiction', 'Humorous stories', 'Intellectuals -- Fiction', 'Satire']",159,10,526,1120,"['England', 'Humorous stories', 'Satire', 'Intellectuals', 'Country homes', 'Fiction']",34,21,0.06289308176100629,0.12276900498250752,0.07704567847546537,Denis,Scogan
20,Mortal Coils,Aldous Huxley,1894,1963,128,"['Great Britain -- Social life and customs -- 20th century -- Fiction', 'Short stories, English']",169,17,416,885,"['20th century', 'Great Britain', 'Social life and customs', 'Short stories, English', 'Fiction']",50,17,0.10059171597633136,0.05553072639852905,0.05477438871457996,Badgery,Hutton
21,The Defeat of Youth and Other Poems,Aldous Huxley,1894,1963,16,"['Darwin, Charles, 1809-1882. On the origin of species', 'Evolution (Biology)']",34,11,50,64,"['Evolution (Biology)', 'Darwin, Charles, 1809-1882. On the origin of species']",64,35,0.3235294117647059,0.057238617651675615,0.053981860544693366,ELEANOR FARJEON,DOROTHY PLOWMAN
22,An Essay on Criticism,Alexander Pope,1688,1744,361,"['Criticism', 'Poetry -- Early works to 1800']",76,18,199,512,"['Poetry', 'Early works to 1800', 'Criticism']",-1,17,0.23684210526315788,0.1111035561620981,0.05770991591277821,Pope,Dryden
23,Essay on Man,Alexander Pope,1688,1744,1418,['English poetry -- 18th century'],319,83,770,1496,"['English poetry', '18th century']",37,17,0.2601880877742947,0.03374022867598689,0.019399642503221095,Pope,Horace
24,"The Poetical Works of Alexander Pope, Volume 1",Alexander Pope,1688,1744,2463,"['Constitutional history -- United States -- Sources', 'Constitutional law -- United States']",533,94,1465,2244,"['Constitutional law', 'United States', 'Constitutional history', 'Sources']",-1,17,0.17636022514071295,0.06926974197990095,0.020079443785327385,Pope,Dryden
25,"The Poetical Works of Alexander Pope, Volume 2",Alexander Pope,1688,1744,2463,"['Constitutional history -- United States -- Sources', 'Constitutional law -- United States']",744,133,2307,3590,"['Constitutional law', 'United States', 'Constitutional history', 'Sources']",-1,17,0.17876344086021506,0.04257923631523528,0.03007275725452196,Pope,Dennis
26,The Rape of the Lock and Other Poems,Alexander Pope,1688,1744,2563,"['Catholics -- England -- Poetry', 'English poetry -- 18th century', 'Young women -- Poetry']",262,24,836,1549,"['England', 'Poetry', '18th century', 'Catholics', 'Young women', 'English poetry']",37,21,0.0916030534351145,0.21602756526797512,0.02517608225652922,Pope,Addison
27,"The Works of Alexander Pope, Volume 1",Alexander Pope,1688,1744,79,['English poetry -- 18th century'],707,35,2253,3321,"['English poetry', '18th century']",37,21,0.04950495049504951,0.15543800341555636,0.03208276144944201,Pope,Dryden
28,Contributions to the Theory of Natural Selection,Alfred Russel Wallace,1823,1913,31,['Natural selection'],257,72,532,1119,['Natural selection'],63,17,0.2801556420233463,0.02679237133314341,0.017323141931053537,Darwin,P. Agamemnon
29,Darwinism,Alfred Russel Wallace,1823,1913,85,"['Evolution', 'Natural selection']",348,67,851,1711,"['Evolution', 'Natural selection']",63,21,0.1925287356321839,0.0742611963734354,0.022603303316378213,Darwin,Weismann
30,Is Mars Habitable_,Alfred Russel Wallace,1823,1913,25,"['Lowell, Percival, 1855-1916. Mars and its canals', 'Mars (Planet)']",52,12,148,439,"['Mars (Planet)', 'Lowell, Percival, 1855-1916. Mars and its canals']",-1,21,0.23076923076923078,0.20474044311890274,0.040196222978266555,Lowell,Stefan
31,Island Life,Alfred Russel Wallace,1823,1913,16,"['Biogeography', 'Glacial epoch', 'Island ecology']",718,196,1581,3740,"['Biogeography', 'Glacial epoch', 'Island ecology']",-1,17,0.27298050139275765,0.01590408761431151,0.012144868391462444,J. D. H.,Rodriguez
32,"The Malay Archipelago, Volume 1",Alfred Russel Wallace,1823,1913,67,"['Ethnology -- Malay Archipelago', 'Malay Archipelago -- Description and travel', 'Natural history -- Malay Archipelago', 'Wallace, Alfred Russel, 1823-1913 -- Travel -- Malay Archipelago']",205,52,339,801,"['Ethnology', 'Malay Archipelago', 'Wallace, Alfred Russel, 1823-1913', 'Travel', 'Natural history', 'Description and travel']",-1,17,0.25365853658536586,0.023727196977647996,0.022077060122611517,Banda,Ali
33,"The Malay Archipelago, Volume 2",Alfred Russel Wallace,1823,1913,67,"['Ethnology -- Malay Archipelago', 'Malay Archipelago -- Description and travel', 'Natural history -- Malay Archipelago', 'Wallace, Alfred Russel, 1823-1913 -- Travel -- Malay Archipelago']",166,29,392,761,"['Ethnology', 'Malay Archipelago', 'Wallace, Alfred Russel, 1823-1913', 'Travel', 'Natural history', 'Description and travel']",-1,17,0.1746987951807229,0.040333209431764445,0.040143507106904695,Bouru,Goram
34,A Cynic Looks at Life,Ambrose Bierce,1842,1913,78,['Essays'],32,11,40,166,['Essays'],35,17,0.34375,0.05955255110252723,0.05955255110252717,Rabelais,Taft
35,"A Son of the Gods, and A Horseman in the Sky",Ambrose Bierce,1842,1913,82,"['United States -- History -- Civil War, 1861-1865 -- Fiction', 'War stories, American']",8,3,10,17,"['War stories, American', 'History', 'United States', 'Civil War, 1861-1865', 'Fiction']",11,21,0.375,0.22594868602752544,0.1657468144393222,Ambrose Bierce,W. C. Morrow
36,An Occurrence at Owl Creek Bridge,Ambrose Bierce,1842,1913,4980,"['Prisoners -- Fiction', 'Short stories', 'United States -- History -- Civil War, 1861-1865 -- Fiction']",1,1,0,1,"['Prisoners', 'United States', 'History', 'Civil War, 1861-1865', 'Short stories', 'Fiction']",27,21,1.0,1.0,-1.0,Farquhar,---
37,Black Beetles in Amber,Ambrose Bierce,1842,1913,64,['Poetry'],331,85,619,1143,['Poetry'],38,17,0.256797583081571,0.018801150274299294,0.01803164300445873,Estee,Peter
38,Can Such Things Be_,Ambrose Bierce,1842,1913,204,"['Paranormal fiction', 'Short stories, American']",113,31,236,581,"['Short stories, American', 'Paranormal fiction']",32,17,0.2743362831858407,0.02875248051671056,0.02335688090279211,Beeson,Dunfer
39,Cobwebs From an Empty Skull,Ambrose Bierce,1842,1913,88,"['American wit and humor', 'Fables', 'Satire']",130,35,252,476,"['Fables', 'Satire', 'American wit and humor']",34,17,0.2692307692307692,0.03699305340342724,0.032167299997042396,Bladud,Smith
40,Fantastic Fables,Ambrose Bierce,1842,1913,101,"['Fables, American', 'Wit and humor']",64,14,56,261,"['Wit and humor', 'Fables, American']",35,17,0.21875,0.08081468992823893,0.047295480738971135,Wolf,Hercules
41,Present at a Hanging and Other Ghost Stories,Ambrose Bierce,1842,1913,140,"['Ghost stories, American', 'Horror tales, American', 'Short stories, American']",76,22,160,673,"['Ghost stories, American', 'Horror tales, American', 'Short stories, American']",32,17,0.2894736842105263,0.03303259853100736,0.0327749736099212,Charles May,Williamson
42,Shapes of Clay,Ambrose Bierce,1842,1913,36,['American poetry'],247,63,328,902,['American poetry'],53,17,0.2550607287449393,0.019652962505819275,0.01749629053039462,Peters,Nick
43,"The Collected Works of Ambrose Bierce, Volume 1",Ambrose Bierce,1842,1913,5431,"['English language -- Dictionaries -- Humor', 'English language -- Semantics -- Humor', 'Vocabulary -- Humor']",179,41,272,865,"['Vocabulary', 'Humor', 'Dictionaries', 'English language', 'Semantics']",-1,17,0.22905027932960895,0.027815667223836958,0.0245362845764519,Howard,Hazen
44,"The Collected Works of Ambrose Bierce, Volume 2",Ambrose Bierce,1842,1913,5431,"['English language -- Dictionaries -- Humor', 'English language -- Semantics -- Humor', 'Vocabulary -- Humor']",107,30,202,614,"['Vocabulary', 'Humor', 'Dictionaries', 'English language', 'Semantics']",-1,17,0.2803738317757009,0.03232636627916967,0.029654955062397514,Gilson,Hardshaw
45,"The Collected Works of Ambrose Bierce, Volume 8",Ambrose Bierce,1842,1913,5431,"['English language -- Dictionaries -- Humor', 'English language -- Semantics -- Humor', 'Vocabulary -- Humor']",209,51,340,795,"['Vocabulary', 'Humor', 'Dictionaries', 'English language', 'Semantics']",-1,17,0.24401913875598086,0.024691079317996426,0.023497216234170323,William,Ben
46,The Damned Thing,Ambrose Bierce,1842,1913,340,"['Horror tales', 'Short stories']",4,2,12,13,"['Short stories', 'Horror tales']",27,21,0.5,0.4633204633204632,0.2839124839124839,Harker,Coroner
47,The Devil's Dictionary,Ambrose Bierce,1842,1913,5431,"['English language -- Dictionaries -- Humor', 'English language -- Semantics -- Humor', 'Vocabulary -- Humor']",394,118,594,1311,"['Vocabulary', 'Humor', 'Dictionaries', 'English language', 'Semantics']",-1,17,0.29949238578680204,0.012120250334304094,0.008918383723847416,Adam,John
48,The Parenticide Club,Ambrose Bierce,1842,1913,60,"['Horror tales, American', 'Murderers -- Fiction', 'Parricide -- Fiction', 'Short stories, American']",12,3,18,45,"['Parricide', 'Horror tales, American', 'Murderers', 'Short stories, American', 'Fiction']",32,35,0.25,0.2738564529205616,0.15889784297633183,William,Mary
49,"The Shadow On The Dial, and Other Essays",Ambrose Bierce,1842,1913,47,['Essays'],121,29,156,571,['Essays'],35,17,0.2396694214876033,0.0732766412319186,0.029876487283386172,Christ,Sheldon
50,Write It Right,Ambrose Bierce,1842,1913,156,['English language -- Errors of usage'],25,7,28,113,"['English language', 'Errors of usage']",-1,35,0.28,0.09861212563915285,0.06756756756756761,Smith,Noah
51,A Collection of Ballads,Andrew Lang,1844,1912,29,"['Ballads, Scots -- Scotland -- Texts']",459,84,1159,1942,"['Scotland', 'Ballads, Scots', 'Texts']",-1,17,0.1830065359477124,0.06044882061859632,0.014620482668777024,Scott,Mary Hamilton
52,A Monk of Fife,Andrew Lang,1844,1912,32,"['Biographical fiction', 'Christian fiction', 'Christian women saints -- Fiction', 'France -- History -- Charles VII, 1422-1461 -- Fiction', 'Joan, of Arc, Saint, 1412-1431 -- Fiction']",295,43,914,1544,"['Christian fiction', 'History', 'Christian women saints', 'Joan, of Arc, Saint, 1412-1431', 'Biographical fiction', 'France', 'Charles VII, 1422-1461', 'Fiction']",29,21,0.14576271186440679,0.057236397787509906,0.04437685941471877,Elliot,Thomas
53,A Short History of Scotland,Andrew Lang,1844,1912,150,['Scotland -- History'],684,51,2007,2923,"['History', 'Scotland']",-1,21,0.07456140350877193,0.1490151114693125,0.0587538487203341,Mary,James
54,Adventures among Books,Andrew Lang,1844,1912,34,['English literature -- History and criticism'],655,92,1801,2649,"['History and criticism', 'English literature']",36,17,0.14045801526717558,0.043212506683789745,0.03268868224577133,Smollett,Scott
55,Alfred Tennyson,Andrew Lang,1844,1912,73,"['Poets, English -- 19th century -- Biography', 'Tennyson, Alfred Tennyson, Baron, 1809-1892']",466,45,1492,2816,"['19th century', 'Biography', 'Poets, English', 'Tennyson, Alfred Tennyson, Baron, 1809-1892']",-1,21,0.09656652360515021,0.12437796883903778,0.04127494361393411,Tennyson,Lancelot
