name,author,year_birth,year_death,popularity,subjects_list
Discipline and Other Sermons,Charles Kingsley,1819,1875,338,['England -- Social life and customs -- 19th century -- Fiction']
Froude's History of England,Charles Kingsley,1819,1875,23,"['Froude, James Anthony, 1818-1894. History of England', 'Great Britain -- History']"
Glaucus; or The Wonders of the Shore,Charles Kingsley,1819,1875,225,"['Christmas stories, English', 'England -- Social life and customs -- 19th century -- Fiction', 'Holidays -- Fiction']"
Health and Education,Charles Kingsley,1819,1875,43,"['Hygiene', 'Natural history']"
"Hereward, The Last of the English",Charles Kingsley,1819,1875,94,['Great Britain -- History -- To 1066 -- Fiction']
Historical Lectures and Essays,Charles Kingsley,1819,1875,71,['History']
Hypatia,Charles Kingsley,1819,1875,152,"['Alexandria (Egypt) -- Fiction', 'Biographical fiction', 'Egypt -- History -- 30 B.C.-640 A.D. -- Fiction', 'Historical fiction', 'Hypatia, -415 -- Fiction', 'Women philosophers -- Fiction']"
Lectures Delivered in America in 1874,Charles Kingsley,1819,1875,8,"['Speeches, addresses, etc.']"
Literary and General Lectures and Essays,Charles Kingsley,1819,1875,44,['English literature -- History and criticism']
Madam How and Lady Why,Charles Kingsley,1819,1875,92,"['Geology -- Juvenile literature', 'Natural history -- Juvenile literature']"
Out of the Deep,Charles Kingsley,1819,1875,23,['Consolation']
Phaethon,Charles Kingsley,1819,1875,24,"['Christianity', 'Dialogues', 'Religion', 'Truth']"
Plays and Puritans,Charles Kingsley,1819,1875,12,"['Great Britain -- History', 'Theater -- Great Britain -- History', 'Theater -- Moral and ethical aspects', 'Theater -- Religious aspects']"
Sanitary and Social Lectures and Essays,Charles Kingsley,1819,1875,23,"['Essays', 'Social problems']"
Scientific Essays and Lectures,Charles Kingsley,1819,1875,39,['Science']
Sermons for the Times,Charles Kingsley,1819,1875,35,"['Church of England -- Sermons', 'Sermons, English -- 19th century']"
Sermons on National Subjects,Charles Kingsley,1819,1875,22,"['Sermons, English -- 19th century']"
Sir Walter Raleigh and his Time,Charles Kingsley,1819,1875,28,"['Great Britain -- History', 'Raleigh, Walter, Sir, 1552?-1618']"
The Ancien Regime,Charles Kingsley,1819,1875,38,"['France -- History', 'France -- Politics and government', 'France -- Social conditions']"
The Good News of God,Charles Kingsley,1819,1875,75,"['Christmas stories, English', 'England -- Social life and customs -- 19th century -- Fiction']"
The Gospel of the Pentateuch,Charles Kingsley,1819,1875,29,"['Bible. Pentateuch -- Criticism, interpretation, etc.', 'Bible. Pentateuch -- Sermons', 'Church of England -- Sermons', 'Sermons, English -- 19th century']"
The Hermits,Charles Kingsley,1819,1875,74,['Hermits']
The Roman and the Teuton,Charles Kingsley,1819,1875,80,"['Germanic peoples', 'Middle Ages', 'Rome -- History -- Germanic Invasions, 3rd-6th centuries']"
The Saint's Tragedy,Charles Kingsley,1819,1875,47,"['Elizabeth of Hungary, Saint, 1207-1231 -- Drama', 'Tragedies']"
The Water of Life and Other Sermons,Charles Kingsley,1819,1875,75,"['Christmas stories, English', 'England -- Social life and customs -- 19th century -- Fiction']"
The Water-Babies,Charles Kingsley,1819,1875,294,"['Chimney sweeps -- Juvenile fiction', 'Fairy tales -- England']"
Town and Country Sermons,Charles Kingsley,1819,1875,19,"['Church of England -- Sermons', 'Sermons, English -- 19th century']"
Town Geology,Charles Kingsley,1819,1875,28,['Geology']
True Words for Brave Men,Charles Kingsley,1819,1875,29,"['Church of England -- Sermons', 'Sermons, English']"
Twenty-Five Village Sermons,Charles Kingsley,1819,1875,31,"['Church of England -- Sermons', 'Sermons, English']"
"Two Years Ago, Volume I",Charles Kingsley,1819,1875,26,['Cholera -- Fiction']
"Two Years Ago, Volume II",Charles Kingsley,1819,1875,26,['Cholera -- Fiction']
Westminster Sermons,Charles Kingsley,1819,1875,30,"['Sermons, English -- 19th century']"
Westward Ho!,Charles Kingsley,1819,1875,299,"['Great Britain -- History -- Elizabeth, 1558-1603 -- Fiction']"
Women and Politics,Charles Kingsley,1819,1875,23,['Women -- Political activity']
Jane Eyre,Charlotte Bronte,1816,1855,23425,"['Bildungsromans', 'Charity-schools -- Fiction', 'Country homes -- Fiction', 'England -- Fiction', 'Fathers and daughters -- Fiction', 'Governesses -- Fiction', 'Love stories', 'Married people -- Fiction', 'Mentally ill women -- Fiction', 'Orphans -- Fiction', 'Young women -- Fiction']"
Shirley,Charlotte Bronte,1816,1855,458,"['Historical fiction', 'Napoleonic Wars, 1800-1815 -- Fiction', 'Textile industry -- Fiction', 'Women -- England -- Fiction', 'Yorkshire (England) -- Fiction']"
Villette,Charlotte Bronte,1816,1855,933,"['Autobiographical fiction', 'British -- Belgium -- Fiction', 'Brussels (Belgium) -- Fiction', 'Love stories', 'Women teachers -- Fiction']"
A Book of Golden Deeds,Charlotte Mary Yonge,1823,1901,77,"['Heroes -- Juvenile literature', 'Self-sacrifice -- Juvenile literature', 'Virtues -- Juvenile literature']"
A Modern Telemachus,Charlotte Mary Yonge,1823,1901,17,"['Algeria -- Fiction', 'Historical fiction, English', 'Kidnapping victims -- Fiction', 'Sea stories', 'Shipwrecks -- Fiction']"
A Reputed Changeling,Charlotte Mary Yonge,1823,1901,15,"['Adventure stories', 'Christian life -- Fiction', 'Conduct of life -- Fiction', 'Courtship -- Fiction', 'Friendship -- Fiction', 'Great Britain -- History -- 17th century -- Fiction', 'Uncles -- Fiction', 'Voyages and travels -- Fiction', 'Widows -- Fiction', 'Youth and death -- Fiction']"
Abbeychurch,Charlotte Mary Yonge,1823,1901,27,"['English fiction -- 19th century', 'Religious fiction']"
Aunt Charlotte's Stories of Greek History,Charlotte Mary Yonge,1823,1901,38,"['Greece -- History -- Juvenile literature', 'Mythology, Greek -- Juvenile literature']"
Beechcroft at Rockstone,Charlotte Mary Yonge,1823,1901,14,"['Domestic fiction', 'Great Britain -- Social life and customs -- 19th century -- Fiction', 'Upper class -- England -- History -- 19th century -- Fiction']"
"Cameos from English History, from Rollo to Edward II",Charlotte Mary Yonge,1823,1901,39,"['Biographical fiction', 'Great Britain -- History -- Elizabeth, 1558-1603 -- Fiction', 'Mary, Queen of Scots, 1542-1587 -- Fiction', 'Queens -- Scotland -- Fiction', 'Scotland -- History -- Mary Stuart, 1542-1567 -- Fiction']"
Chantry House,Charlotte Mary Yonge,1823,1901,20,"['Domestic fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'Family -- England -- Fiction']"
Countess Kate,Charlotte Mary Yonge,1823,1901,18,"['Children -- Conduct of life -- Juvenile fiction', 'Inheritance and succession -- Juvenile fiction', 'London (England) -- Juvenile fiction', 'Orphans -- Juvenile fiction']"
Friarswood Post-Office,Charlotte Mary Yonge,1823,1901,9,"['Brothers and sisters -- Fiction', 'Child labor -- Fiction', 'Children -- Death -- Fiction', 'Children with disabilities -- Fiction', 'Christian life -- Fiction', 'Postal service -- Fiction']"
Grisly Grisell,Charlotte Mary Yonge,1823,1901,24,"['Great Britain -- History -- Wars of the Roses, 1455-1485 -- Fiction']"
Heartsease,Charlotte Mary Yonge,1823,1901,29,"['England -- Social life and customs -- 19th century -- Fiction', 'English fiction -- 19th century', 'Family -- England -- Fiction', 'Marriage -- Fiction', 'Upper class -- England -- Fiction']"
Henrietta's Wish,Charlotte Mary Yonge,1823,1901,13,"['Domestic fiction', 'England -- Social life and customs -- 19th century -- Fiction']"
History of France,Charlotte Mary Yonge,1823,1901,72,['France -- History']
Hopes and Fears,Charlotte Mary Yonge,1823,1901,24,"['England -- Social conditions -- 19th century -- Fiction', 'Single women -- Fiction']"
John Keble's Parishes,Charlotte Mary Yonge,1823,1901,25,"['Hampshire (England) -- Description and travel', 'Hampshire (England) -- History', 'Keble, John, 1792-1866']"
"Lady Hester, or Ursula's Narrative",Charlotte Mary Yonge,1823,1901,10,"['Canada -- History -- 1763-1867 -- Fiction', 'Domestic fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'Upper class -- England -- History -- 19th century -- Fiction']"
Life of John Coleridge Patteson,Charlotte Mary Yonge,1823,1901,23,"['Missions -- Melanesia', 'Patteson, John Coleridge, 1827-1871']"
Little Lucy's Wonderful Globe,Charlotte Mary Yonge,1823,1901,13,['Geography -- Juvenile literature']
Love and Life,Charlotte Mary Yonge,1823,1901,27,['English fiction -- 19th century']
Magnum Bonum,Charlotte Mary Yonge,1823,1901,28,"['Domestic fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'Religious fiction']"
More Bywords,Charlotte Mary Yonge,1823,1901,13,"['Poetry', 'Short stories']"
My Young Alcides,Charlotte Mary Yonge,1823,1901,15,"['Domestic fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'English fiction -- 19th century', 'Hercules (Roman mythology) -- Fiction']"
Nuttie's Father,Charlotte Mary Yonge,1823,1901,23,['England -- Social life and customs -- 19th century -- Fiction']
Old Times at Otterbourne,Charlotte Mary Yonge,1823,1901,28,"['Hampshire (England) -- History', 'Otterbourne (England) -- History']"
Pioneers and Founders,Charlotte Mary Yonge,1823,1901,25,['Missionaries']
Scenes and Characters,Charlotte Mary Yonge,1823,1901,26,"['Domestic fiction', 'England -- Social life and customs -- 19th century -- Fiction']"
Sowing and Sewing,Charlotte Mary Yonge,1823,1901,18,"['Christian life -- Fiction', 'Church work -- Fiction', 'Villages -- Fiction', 'Young women -- Conduct of life -- Fiction']"
Stray Pearls,Charlotte Mary Yonge,1823,1901,60,['Fronde -- Fiction']
That Stick,Charlotte Mary Yonge,1823,1901,10,"['England -- Social life and customs -- 19th century -- Fiction', 'Nobility -- Fiction']"
The Armourer's Prentices,Charlotte Mary Yonge,1823,1901,24,"['Great Britain -- History -- Henry VIII, 1509-1547 -- Fiction']"
The Caged Lion,Charlotte Mary Yonge,1823,1901,28,"['James I, King of Scotland, 1394-1437 -- Fiction', 'Scotland -- History -- James I, 1406-1437 -- Fiction']"
The Carbonels,Charlotte Mary Yonge,1823,1901,23,"['England -- Social conditions -- 19th century -- Fiction', 'Working class -- Fiction']"
The Chaplet of Pearls,Charlotte Mary Yonge,1823,1901,40,"[""Saint Bartholomew\\'s Day, Massacre of, France, 1572 -- Fiction""]"
The Clever Woman of the Family,Charlotte Mary Yonge,1823,1901,54,"['Domestic fiction', 'Sex role -- Fiction', 'Single women -- Fiction', 'Women -- England -- Fiction', 'Young women -- Fiction']"
The Daisy Chain,Charlotte Mary Yonge,1823,1901,78,"['Christian life -- Fiction', 'Church of England -- Fiction', 'Domestic fiction', 'England -- Fiction', 'Family life -- Fiction', 'Oxford movement -- Fiction', 'Single women -- Fiction', 'Young women -- Fiction']"
The Dove in the Eagle's Nest,Charlotte Mary Yonge,1823,1901,25,"['Emperors -- Fiction', 'Historical fiction', 'Holy Roman Empire -- History -- Maximilian I, 1493-1519 -- Fiction', 'Maximilian I, Holy Roman Emperor, 1459-1519']"
The Heir of Redclyffe,Charlotte Mary Yonge,1823,1901,58,"['Cousins -- Fiction', 'Great Britain -- Moral conditions -- Fiction', 'Great Britain -- Social life and customs -- 19th century -- Fiction', 'Religious fiction', 'Upper class -- Fiction']"
The Herd Boy and His Hermit,Charlotte Mary Yonge,1823,1901,11,"['Clifford, Henry de Clifford, 14th lord, 1455?-1523 -- Fiction', 'Henry VI, King of England, 1421-1471 -- Fiction']"
The Lances of Lynwood,Charlotte Mary Yonge,1823,1901,529,"['California -- Description and travel', 'California -- History, Local', 'California -- Social life and customs', 'Frontier and pioneer life -- California', 'Natural history -- California']"
The Little Duke,Charlotte Mary Yonge,1823,1901,165,"['Richard I, Duke of Normandy, approximately 932-996 -- Juvenile fiction']"
The Long Vacation,Charlotte Mary Yonge,1823,1901,18,"['Upper class -- England -- History -- 19th century -- Fiction', 'Vacations -- Fiction']"
The Pigeon Pie,Charlotte Mary Yonge,1823,1901,27,"[""Children\\'s stories, English -- 19th century"", 'Families -- Juvenile fiction', 'Great Britain -- History -- Civil War, 1642-1649 -- Juvenile fiction', 'Roundheads -- Juvenile fiction']"
"The Pillars of the House, V1",Charlotte Mary Yonge,1823,1901,529,"['California -- Description and travel', 'California -- History, Local', 'California -- Social life and customs', 'Frontier and pioneer life -- California', 'Natural history -- California']"
The Prince and the Page,Charlotte Mary Yonge,1823,1901,21,"['Crusades -- Eighth, 1270 -- Fiction']"
The Stokesley Secret,Charlotte Mary Yonge,1823,1901,25,['Family -- Juvenile fiction']
The Three Brides,Charlotte Mary Yonge,1823,1901,26,"['England -- Social life and customs -- 19th century -- Fiction', 'Marriage -- Fiction']"
The Trial,Charlotte Mary Yonge,1823,1901,22,"['Domestic fiction', 'England -- Fiction', 'English fiction -- 19th century', 'Trials (Murder) -- Fiction']"
The Two Guardians,Charlotte Mary Yonge,1823,1901,16,['Fiction']
The Two Sides of the Shield,Charlotte Mary Yonge,1823,1901,17,"['Domestic fiction', 'England -- Social life and customs -- 19th century -- Fiction']"
The Young Step-Mother,Charlotte Mary Yonge,1823,1901,23,"['Domestic fiction', 'England -- Social life and customs -- Fiction', 'Stepmothers -- Fiction']"
Two Penniless Princesses,Charlotte Mary Yonge,1823,1901,26,"['Brothers and sisters -- Fiction', 'Chivalry -- Fiction', 'Conduct of life -- Fiction', 'France -- History -- Charles VII, 1422-1461 -- Fiction', 'Inheritance and succession -- Fiction', 'Knights and knighthood -- Fiction', 'Marriage -- Fiction', 'Princesses -- Fiction', 'Prisoners -- Fiction', 'Scotland -- History -- James II, 1437-1460 -- Fiction']"
Under the Storm,Charlotte Mary Yonge,1823,1901,18,"['Great Britain -- History -- Civil War, 1642-1649 -- Fiction']"
Unknown to History,Charlotte Mary Yonge,1823,1901,39,"['Biographical fiction', 'Great Britain -- History -- Elizabeth, 1558-1603 -- Fiction', 'Mary, Queen of Scots, 1542-1587 -- Fiction', 'Queens -- Scotland -- Fiction', 'Scotland -- History -- Mary Stuart, 1542-1567 -- Fiction']"
Young Folks' History of England,Charlotte Mary Yonge,1823,1901,32,['Great Britain -- History -- Juvenile literature']
Young Folks' History of Rome,Charlotte Mary Yonge,1823,1901,57,['Rome -- History -- Juvenile literature']
Aaron's Rod,D H Lawrence,1885,1930,126,"['Adultery -- Fiction', 'Bohemianism -- Fiction', 'Florence (Italy) -- Fiction', 'London (England) -- Fiction', 'Male friendship -- Fiction', 'Picaresque literature', 'Runaway husbands -- Fiction']"
Amores,D H Lawrence,1885,1930,83,['Poetry']
Bay,D H Lawrence,1885,1930,30,['Poetry']
"England, My England",D H Lawrence,1885,1930,606,"['England -- Social life and customs -- 20th century -- Fiction', 'Short stories, English']"
Fantasia of the Unconscious,D H Lawrence,1885,1930,136,"['Psychoanalysis', 'Sex', 'Subconsciousness']"
Look! We Have Come Through!,D H Lawrence,1885,1930,58,['Poetry']
New Poems,D H Lawrence,1885,1930,90,['Poetry']
Sea and Sardinia,D H Lawrence,1885,1930,149,"['Lawrence, D. H. (David Herbert), 1885-1930 -- Travel -- Italy -- Sardinia', 'Sardinia (Italy) -- Description and travel']"
Sons and Lovers,D H Lawrence,1885,1930,886,"['Autobiographical fiction', 'Bildungsromans', 'Domestic fiction', 'England -- Fiction', 'Working class families -- Fiction', 'Young men -- Fiction']"
The Lost Girl,D H Lawrence,1885,1930,172,"['Circus performers -- Fiction', 'Love stories', 'Midlands (England) -- Fiction', 'Naples (Italy) -- Fiction', 'Psychological fiction', 'Young women -- Fiction']"
The Prussian Officer,D H Lawrence,1885,1930,354,"['Fiction', 'Short stories']"
The Rainbow,D H Lawrence,1885,1930,641,"['Domestic fiction', 'Family -- England -- Midlands -- Fiction', 'Midlands (England) -- Fiction']"
The Trespasser,D H Lawrence,1885,1930,56,"['Adultery -- Fiction', 'Love stories']"
The White Peacock,D H Lawrence,1885,1930,152,"['Bildungsromans', 'Midlands (England) -- Fiction', 'Young men -- Fiction']"
Tortoises,D H Lawrence,1885,1930,88,['English poetry']
Touch and Go,D H Lawrence,1885,1930,49,['English drama']
Twilight in Italy,D H Lawrence,1885,1930,99,"['Italy, Northern -- Description and travel', 'Lawrence, D. H. (David Herbert), 1885-1930 -- Travel -- Italy, Northern']"
Wintry Peacock,D H Lawrence,1885,1930,47,"['Fiction', 'Short stories']"
Women in Love,D H Lawrence,1885,1930,639,"['Coal mines and mining -- Fiction', 'Love stories', 'Male friendship -- Fiction', 'Midlands (England) -- Fiction', 'Psychological fiction', 'Sisters -- Fiction', 'Women -- England -- Fiction']"
A Journal of the Plague Year,Daniel Defoe,1660,1731,6081,"['Great Fire, London, England, 1666 -- Fiction', 'Historical fiction', 'London (England) -- History -- 17th century -- Fiction', 'Plague -- Fiction']"
A New Voyage Round the World by a Course Never Sailed Before,Daniel Defoe,1660,1731,6081,"['Great Fire, London, England, 1666 -- Fiction', 'Historical fiction', 'London (England) -- History -- 17th century -- Fiction', 'Plague -- Fiction']"
A Seasonable Warning and Caution against the Insinuations of Papists and Jacobites,Daniel Defoe,1660,1731,6081,"['Great Fire, London, England, 1666 -- Fiction', 'Historical fiction', 'London (England) -- History -- 17th century -- Fiction', 'Plague -- Fiction']"
"A Short Narrative of the Life and Actions of His Grace John, D. of Marlborogh",Daniel Defoe,1660,1731,6081,"['Great Fire, London, England, 1666 -- Fiction', 'Historical fiction', 'London (England) -- History -- 17th century -- Fiction', 'Plague -- Fiction']"
A True Relation of the Apparition of one Mrs. Veal,Daniel Defoe,1660,1731,146,"['Apparitions -- England -- Canterbury -- Case studies', 'Veal, Margaret, -1705']"
A Vindication of the Press,Daniel Defoe,1660,1731,25,['Authorship']
"An Answer to a Question that Nobody thinks of, viz., But what if the Queen should Die_",Daniel Defoe,1660,1731,13,"['Great Britain -- Kings and rulers -- Succession -- Early works to 1800', 'Jacobites', 'James, Prince of Wales, 1688-1766 -- Early works to 1800']"
"An Appeal to Honour and Justice, Though It Be of His Worst Enemies",Daniel Defoe,1660,1731,768,"['Adventure stories', 'British -- Virginia -- Fiction', 'Children of prisoners -- Fiction', 'Criminals -- Fiction', 'London (England) -- Fiction', 'Picaresque literature', 'Prostitutes -- Fiction', 'Repentance -- Fiction', 'Virginia -- Fiction', 'Women -- England -- Fiction']"
An Essay Upon Projects,Daniel Defoe,1660,1731,173,"['Economics -- Early works to 1800', 'Finance -- Great Britain', 'Great Britain -- Economic conditions -- 18th century']"
An Humble Proposal to the People of England,Daniel Defoe,1660,1731,6081,"['Great Fire, London, England, 1666 -- Fiction', 'Historical fiction', 'London (England) -- History -- 17th century -- Fiction', 'Plague -- Fiction']"
And What if the Pretender should Come_,Daniel Defoe,1660,1731,13,"['Great Britain -- Kings and rulers -- Succession -- Early works to 1800', 'Jacobites', 'James, Prince of Wales, 1688-1766 -- Early works to 1800']"
Atalantis Major,Daniel Defoe,1660,1731,16,['Great Britain -- Politics and government -- 1702-1714']
Augusta Triumphans,Daniel Defoe,1660,1731,28,"['London (England) -- Social conditions', 'Social problems -- Early works to 1800']"
Dickory Cronke,Daniel Defoe,1660,1731,30,"['Didactic fiction', 'Philosophers -- Fiction']"
Everybody's Business is Nobody's Business,Daniel Defoe,1660,1731,129,['Working class']
From London to Land's End,Daniel Defoe,1660,1731,58,['England -- Description and travel -- Early works to 1800']
History of the Plague in London,Daniel Defoe,1660,1731,195,"['Historical fiction', 'London (England) -- History -- 17th century -- Fiction', 'Plague -- Fiction']"
Memoirs of a Cavalier,Daniel Defoe,1660,1731,93,"['Great Britain -- History -- Civil War, 1642-1649 -- Fiction', 'Great Britain -- History, Military -- 1603-1714 -- Fiction', 'Historical fiction', 'Royalists -- Fiction', 'Soldiers -- Fiction', ""Thirty Years\\' War, 1618-1648 -- Fiction"", 'War stories']"
Memoirs of Major Alexander Ramkins (1718),Daniel Defoe,1660,1731,18,"['Adventure stories', 'Great Britain -- History, Military -- Fiction', 'Soldiers -- Fiction']"
Military Memoirs of Capt. George Carleton,Daniel Defoe,1660,1731,27,"['Adventure stories', 'Great Britain -- History, Military -- Fiction', 'Soldiers -- Fiction']"
Of Captain Mission,Daniel Defoe,1660,1731,60,['Pirates -- Fiction']
Reasons against the Succession of the House of Hanover,Daniel Defoe,1660,1731,6081,"['Great Fire, London, England, 1666 -- Fiction', 'Historical fiction', 'London (England) -- History -- 17th century -- Fiction', 'Plague -- Fiction']"
The Complete English Tradesman (1839 ed.),Daniel Defoe,1660,1731,10,['Bible. Daniel']
The Fortunate Mistress (Parts 1 and 2),Daniel Defoe,1660,1731,381,"['Adventure stories', 'Europe -- History -- 17th century -- Fiction', 'Great Britain -- History -- Charles II, 1660-1685 -- Fiction', 'Historical fiction', 'Mistresses -- Fiction', 'Picaresque literature', 'Women -- Europe -- Fiction', 'Women -- Great Britain -- Fiction']"
The Fortunes and Misfortunes of the Famous Moll Flanders,Daniel Defoe,1660,1731,222,"['Adventure and adventurers -- Fiction', 'Crusoe, Robinson (Fictitious character) -- Fiction']"
The Further Adventures of Robinson Crusoe,Daniel Defoe,1660,1731,222,"['Adventure and adventurers -- Fiction', 'Crusoe, Robinson (Fictitious character) -- Fiction']"
The History of the Devil,Daniel Defoe,1660,1731,94,['Devil -- Early works to 1800']
The History of the Life and Adventures of Mr. Duncan Campbell,Daniel Defoe,1660,1731,222,"['Adventure and adventurers -- Fiction', 'Crusoe, Robinson (Fictitious character) -- Fiction']"
The History of the Remarkable Life of John Sheppard,Daniel Defoe,1660,1731,48,"['Sheppard, Jack, 1702-1724']"
The King of Pirates,Daniel Defoe,1660,1731,152,"['Adventure stories', 'Picaresque literature', 'Pirates -- Fiction', 'Sea stories']"
The Lay-Man's Sermon upon the Late Storm,Daniel Defoe,1660,1731,9,"['Bible. Nahum I, 3 -- Sermons -- Early works to 1800', 'Sermons', 'Storms -- Great Britain -- Early works to 1800']"
The Life and Adventures of Robinson Crusoe (1808),Daniel Defoe,1660,1731,222,"['Adventure and adventurers -- Fiction', 'Crusoe, Robinson (Fictitious character) -- Fiction']"
"The Life and Adventures of Robinson Crusoe Of York, Mariner, Vol. 1",Daniel Defoe,1660,1731,222,"['Adventure and adventurers -- Fiction', 'Crusoe, Robinson (Fictitious character) -- Fiction']"
The Life and Adventures of Robinson Crusoe,Daniel Defoe,1660,1731,307,"['Adventure stories', 'Atlantic Ocean -- Fiction', 'Castaways -- Fiction', 'Crusoe, Robinson (Fictitious character) -- Fiction', 'Islands -- Fiction', 'Shipwreck survival -- Fiction']"
The Life and Most Surprising Adventures of Robinson Crusoe,Daniel Defoe,1660,1731,222,"['Adventure and adventurers -- Fiction', 'Crusoe, Robinson (Fictitious character) -- Fiction']"
"The Life, Adventures & Piracies of the Famous Captain Singleton",Daniel Defoe,1660,1731,222,"['Adventure and adventurers -- Fiction', 'Crusoe, Robinson (Fictitious character) -- Fiction']"
The True-Born Englishman,Daniel Defoe,1660,1731,92,"['Great Britain -- Politics and government -- 1689-1702', 'National characteristics, English']"
"Tour through the Eastern Counties of England, 1722",Daniel Defoe,1660,1731,112,['England -- Description and travel -- Early works to 1800']
Edgar Allan Poe's Complete Poetical Works,Edgar Allan Poe,1809,1849,667,"['Fantasy poetry, American']"
Eureka,Edgar Allan Poe,1809,1849,462,['Cosmology']
The Cask of Amontillado,Edgar Allan Poe,1809,1849,2771,"['Horror tales, American', 'Revenge -- Fiction']"
The Fall of the House of Usher,Edgar Allan Poe,1809,1849,110,"['Great Britain -- History -- Henry III, 1216-1272 -- Fiction', 'Historical fiction', 'Outlaws -- Fiction']"
The Masque of the Red Death,Edgar Allan Poe,1809,1849,6097,"['Horror tales, American']"
The Raven,Edgar Allan Poe,1809,1849,320,"['Fantasy poetry, American', 'Ravens -- Poetry']"
The Works of Edgar Allan Poe Volume 1,Edgar Allan Poe,1809,1849,125,['Science fiction']
The Works of Edgar Allan Poe Volume 2,Edgar Allan Poe,1809,1849,125,['Science fiction']
The Works of Edgar Allan Poe Volume 3,Edgar Allan Poe,1809,1849,125,['Science fiction']
The Works of Edgar Allan Poe Volume 4,Edgar Allan Poe,1809,1849,125,['Science fiction']
The Works of Edgar Allan Poe Volume 5,Edgar Allan Poe,1809,1849,125,['Science fiction']
A Princess of Mars,Edgar Rice Burroughs,1875,1950,1674,"['Carter, John (Fictitious character) -- Fiction', 'Dejah Thoris (Fictitious character) -- Fiction', 'Mars (Planet) -- Fiction', 'Princesses -- Fiction', 'Science fiction']"
At the Earth's Core,Edgar Rice Burroughs,1875,1950,61,"['Adventure stories', 'Earth (Planet) -- Core -- Fiction', 'Fantasy fiction', 'Science fiction']"
Jungle Tales of Tarzan,Edgar Rice Burroughs,1875,1950,173,"['Adventure stories', 'Africa -- Fiction', 'Apes -- Fiction', 'Fantasy fiction', 'Jungles -- Fiction', 'Tarzan (Fictitious character) -- Fiction']"
Out of Time's Abyss,Edgar Rice Burroughs,1875,1950,125,['Science fiction']
Pellucidar,Edgar Rice Burroughs,1875,1950,162,"['Adventure stories', 'Earth (Planet) -- Core -- Fiction', 'Science fiction']"
Tarzan and the Jewels of Opar,Edgar Rice Burroughs,1875,1950,180,"['Adventure stories', 'Fantasy fiction', 'Tarzan (Fictitious character) -- Fiction']"
Tarzan of the Apes,Edgar Rice Burroughs,1875,1950,1367,"['Adventure stories', 'Africa -- Fiction', 'British -- Africa -- Fiction', 'Fantasy fiction', 'Tarzan (Fictitious character) -- Fiction', 'Wild men -- Fiction']"
Tarzan the Terrible,Edgar Rice Burroughs,1875,1950,238,"['Adventure stories', 'Fantasy fiction', 'Tarzan (Fictitious character) -- Fiction']"
Tarzan the Untamed,Edgar Rice Burroughs,1875,1950,146,"['Adventure stories', 'Fantasy fiction', 'Tarzan (Fictitious character) -- Fiction']"
The Beasts of Tarzan,Edgar Rice Burroughs,1875,1950,220,"['Adventure stories', 'Fantasy fiction', 'Jungle animals -- Fiction', 'Tarzan (Fictitious character) -- Fiction']"
The Chessmen of Mars,Edgar Rice Burroughs,1875,1950,110,"['Great Britain -- History -- Henry III, 1216-1272 -- Fiction', 'Historical fiction', 'Outlaws -- Fiction']"
The Efficiency Expert,Edgar Rice Burroughs,1875,1950,62,"['Chicago (Ill.) -- Fiction', 'College graduates -- Fiction', 'Gangsters -- Fiction']"
The Gods of Mars,Edgar Rice Burroughs,1875,1950,463,"['Carter, John (Fictitious character) -- Fiction', 'Dejah Thoris (Fictitious character) -- Fiction', 'Life on other planets -- Fiction', 'Mars (Planet) -- Fiction', 'Science fiction']"
The Land That Time Forgot,Edgar Rice Burroughs,1875,1950,378,"['Dinosaurs -- Fiction', 'Lost continents -- Fiction', 'Prehistoric peoples -- Fiction', 'Science fiction']"
The Lost Continent,Edgar Rice Burroughs,1875,1950,158,"['England -- Fiction', 'Fantasy fiction', 'Science fiction']"
The Mad King,Edgar Rice Burroughs,1875,1950,97,"['Adventure stories', 'Fantasy fiction', 'Impostors and imposture -- Fiction', 'Kings and rulers -- Fiction', 'Mistaken identity -- Fiction']"
The Monster Men,Edgar Rice Burroughs,1875,1950,118,"['Fantasy fiction', 'Science fiction']"
The Mucker,Edgar Rice Burroughs,1875,1950,125,"['Adventure stories', 'Fiction']"
The Oakdale Affair,Edgar Rice Burroughs,1875,1950,79,"['Adventure stories', 'Mystery fiction']"
The Outlaw of Torn,Edgar Rice Burroughs,1875,1950,110,"['Great Britain -- History -- Henry III, 1216-1272 -- Fiction', 'Historical fiction', 'Outlaws -- Fiction']"
The People that Time Forgot,Edgar Rice Burroughs,1875,1950,117,"['Lost continents -- Fiction', 'Science fiction']"
The Return of Tarzan,Edgar Rice Burroughs,1875,1950,404,"['Adventure stories', 'Fantasy fiction', 'Tarzan (Fictitious character) -- Fiction']"
The Son of Tarzan,Edgar Rice Burroughs,1875,1950,179,"['Adventure stories', 'Fantasy fiction', 'Tarzan (Fictitious character) -- Fiction']"
"Thuvia, Maid of Mars",Edgar Rice Burroughs,1875,1950,304,"['Mars (Planet) -- Fiction', 'Martians -- Fiction', 'Science fiction']"
