name,author,year_birth,year_death,popularity,subjects_list
Present at a Hanging and Other Ghost Stories,Ambrose Bierce,1842,1913,140,"['Ghost stories, American', 'Horror tales, American', 'Short stories, American']"
Shapes of Clay,Ambrose Bierce,1842,1913,36,['American poetry']
"The Collected Works of Ambrose Bierce, Volume 1",Ambrose Bierce,1842,1913,5431,"['English language -- Dictionaries -- Humor', 'English language -- Semantics -- Humor', 'Vocabulary -- Humor']"
"The Collected Works of Ambrose Bierce, Volume 2",Ambrose Bierce,1842,1913,5431,"['English language -- Dictionaries -- Humor', 'English language -- Semantics -- Humor', 'Vocabulary -- Humor']"
"The Collected Works of Ambrose Bierce, Volume 8",Ambrose Bierce,1842,1913,5431,"['English language -- Dictionaries -- Humor', 'English language -- Semantics -- Humor', 'Vocabulary -- Humor']"
The Damned Thing,Ambrose Bierce,1842,1913,340,"['Horror tales', 'Short stories']"
The Devil's Dictionary,Ambrose Bierce,1842,1913,5431,"['English language -- Dictionaries -- Humor', 'English language -- Semantics -- Humor', 'Vocabulary -- Humor']"
The Parenticide Club,Ambrose Bierce,1842,1913,60,"['Horror tales, American', 'Murderers -- Fiction', 'Parricide -- Fiction', 'Short stories, American']"
"The Shadow On The Dial, and Other Essays",Ambrose Bierce,1842,1913,47,['Essays']
Write It Right,Ambrose Bierce,1842,1913,156,['English language -- Errors of usage']
A Collection of Ballads,Andrew Lang,1844,1912,29,"['Ballads, Scots -- Scotland -- Texts']"
A Monk of Fife,Andrew Lang,1844,1912,32,"['Biographical fiction', 'Christian fiction', 'Christian women saints -- Fiction', 'France -- History -- Charles VII, 1422-1461 -- Fiction', 'Joan, of Arc, Saint, 1412-1431 -- Fiction']"
A Short History of Scotland,Andrew Lang,1844,1912,150,['Scotland -- History']
Adventures among Books,Andrew Lang,1844,1912,34,['English literature -- History and criticism']
Alfred Tennyson,Andrew Lang,1844,1912,73,"['Poets, English -- 19th century -- Biography', 'Tennyson, Alfred Tennyson, Baron, 1809-1892']"
Andrew Lang's Introduction to The Compleat Angler,Andrew Lang,1844,1912,32,"['Fishing', 'Walton, Izaak, 1593-1683. Compleat angler']"
Angling Sketches,Andrew Lang,1844,1912,25,['Fishing']
Ballads in Blue China and Verses and Translations,Andrew Lang,1844,1912,24,"['Ballads, French', 'Folk songs, French', 'French poetry -- Translations into English']"
Ban and Arriere Ban,Andrew Lang,1844,1912,11,['Poetry']
Books and Bookmen,Andrew Lang,1844,1912,37,"['Bibliomania', 'Book collecting', 'Books', 'Literary forgeries and mystifications']"
Cock Lane and Common-Sense,Andrew Lang,1844,1912,76,"['Ghosts', 'Parapsychology -- Early works to 1900']"
Custom and Myth,Andrew Lang,1844,1912,106,"['Folklore', 'Manners and customs', 'Mythology', 'Religion']"
Essays in Little,Andrew Lang,1844,1912,44,"['English literature -- 19th century -- History and criticism', 'Literature -- History and criticism']"
Grass of Parnassus,Andrew Lang,1844,1912,22,['Poetry']
He,Andrew Lang,1844,1912,30,"['Helen, of Troy, Queen of Sparta -- Poetry']"
Helen of Troy,Andrew Lang,1844,1912,30,"['Helen, of Troy, Queen of Sparta -- Poetry']"
Historical Mysteries,Andrew Lang,1844,1912,85,['History']
Homer and His Age,Andrew Lang,1844,1912,66,"['Civilization, Homeric', 'Epic poetry, Greek -- History and criticism', 'Homer', 'Homer -- Homes and haunts -- Greece']"
How to Fail in Literature,Andrew Lang,1844,1912,23,"['Authorship -- Humor', 'Literature -- Humor']"
In the Wrong Paradise,Andrew Lang,1844,1912,35,"['Paranormal fiction', 'Science fiction, English', 'Short stories', 'Slavery -- Fiction']"
James VI and the Gowrie Mystery,Andrew Lang,1844,1912,36,"['Gowrie Conspiracy, 1600']"
John Knox and the Reformation,Andrew Lang,1844,1912,89,"['Knox, John, approximately 1514-1572', 'Reformation -- Scotland']"
Letters on Literature,Andrew Lang,1844,1912,68,['Literature -- History and criticism']
Letters to Dead Authors,Andrew Lang,1844,1912,22,"['Authors -- Biography', 'Authors, English -- Biography', 'Literature -- History and criticism']"
Lost Leaders,Andrew Lang,1844,1912,21,['Essays']
Modern Mythology,Andrew Lang,1844,1912,84,['Mythology']
Much Darker Days,Andrew Lang,1844,1912,27,"['Conway, Hugh, 1847-1885. Dark days -- Parodies, imitations, etc.']"
"Myth, Ritual And Religion, Vol. 2 (of 2)",Andrew Lang,1844,1912,49,"['Myth', 'Mythology', 'Religion', 'Rites and ceremonies']"
"Myth, Ritual, and Religion, Vol. 1",Andrew Lang,1844,1912,44,"['Cornell University', 'Diplomats -- United States -- Biography', 'White, Andrew Dickson, 1832-1918']"
New Collected Rhymes,Andrew Lang,1844,1912,23,['English poetry']
Old Friends - Essays in Epistolary Parody,Andrew Lang,1844,1912,44,"['English literature -- 19th century -- History and criticism', 'Literature -- History and criticism']"
Oxford,Andrew Lang,1844,1912,25,['University of Oxford -- History']
Prince Prigio,Andrew Lang,1844,1912,61,"[""Children\\'s stories"", 'Fairy tales']"
Prince Ricardo of Pantouflia,Andrew Lang,1844,1912,35,"[""Children\\'s stories"", 'Fairy tales']"
Rhymes a la Mode,Andrew Lang,1844,1912,22,['English poetry']
"Shakespeare, Bacon and the Great Unknown",Andrew Lang,1844,1912,48,"['Bacon, Francis, 1561-1626 -- Authorship', 'Shakespeare, William, 1564-1616 -- Authorship -- Baconian theory']"
Sir Walter Scott and the Border Minstrelsy,Andrew Lang,1844,1912,18,"['Ballads, Scots -- Scotland -- Scottish Borders -- History and criticism', 'Popular culture -- Scotland -- Scottish Borders', 'Scott, Walter, 1771-1832 -- Knowledge -- Literature', 'Scottish Borders (Scotland) -- In literature']"
Tales of Troy and Greece,Andrew Lang,1844,1912,220,"['Mythology, Greek', 'Trojan War -- Literature and the war', 'Troy (Extinct city) -- Legends']"
The Arabian Nights Entertainments,Andrew Lang,1844,1912,1798,"['Arabs -- Folklore', ""Children\\'s stories"", 'Fairy tales', 'Fairy tales -- Arab countries', 'Folklore -- Arab countries', 'Tales -- Arab countries']"
The Blue Fairy Book,Andrew Lang,1844,1912,1902,"['Fairy tales', 'Folklore']"
The Book of Dreams and Ghosts,Andrew Lang,1844,1912,81,"['Dreams', 'Ghosts']"
The Brown Fairy Book,Andrew Lang,1844,1912,98,['Fairy tales']
The Clyde Mystery,Andrew Lang,1844,1912,40,['Archaeology']
The Crimson Fairy Book,Andrew Lang,1844,1912,171,"['Fairy tales', 'Folklore']"
The Disentanglers,Andrew Lang,1844,1912,16,"['Fiction', 'Short stories']"
The Gold Of Fairnilee,Andrew Lang,1844,1912,47,['Fairy tales']
The Grey Fairy Book,Andrew Lang,1844,1912,1902,"['Fairy tales', 'Folklore']"
The Library,Andrew Lang,1844,1912,59,"['Book collecting', 'Books']"
The Lilac Fairy Book,Andrew Lang,1844,1912,198,"['Fairy tales', 'Folklore']"
The Making of Religion,Andrew Lang,1844,1912,54,"['Religion', 'Religion -- History', 'Spiritualism']"
The Mark Of Cain,Andrew Lang,1844,1912,40,['Fiction']
The Orange Fairy Book,Andrew Lang,1844,1912,1902,"['Fairy tales', 'Folklore']"
The Pink Fairy Book,Andrew Lang,1844,1912,1902,"['Fairy tales', 'Folklore']"
The Puzzle of Dickens's Last Plot,Andrew Lang,1844,1912,21,"['Cathedrals in literature', 'Dickens, Charles, 1812-1870. Mystery of Edwin Drood', 'Murder in literature']"
The Red Fairy Book,Andrew Lang,1844,1912,1902,"['Fairy tales', 'Folklore']"
The Valet's Tragedy and Other Stories,Andrew Lang,1844,1912,26,"['History', 'World history']"
The Violet Fairy Book,Andrew Lang,1844,1912,1902,"['Fairy tales', 'Folklore']"
The Yellow Fairy Book,Andrew Lang,1844,1912,1902,"['Fairy tales', 'Folklore']"
A Ride Across Palestine,Anthony Trollope,1815,1882,24,"['British -- Palestine -- Fiction', 'Disguise -- Fiction', 'Short stories', 'Travel -- Fiction']"
Aaron Trow,Anthony Trollope,1815,1882,65,"['Bermuda Islands -- Fiction', 'Prisoners -- Fiction', 'Short stories']"
An Eye for an Eye,Anthony Trollope,1815,1882,60,"['Domestic fiction', 'Ireland -- Fiction', 'Man-woman relationships -- Fiction', 'Mothers and daughters -- Fiction', 'Revenge -- Fiction']"
An Old Man's Love,Anthony Trollope,1815,1882,53,"['England -- Fiction', 'Guardian and ward -- Fiction', 'Love stories', 'Middle-aged men -- Fiction', 'Triangles (Interpersonal relations) -- Fiction']"
An Unprotected Female at the Pyramids,Anthony Trollope,1815,1882,33,"['Courtship -- Fiction', 'Egypt -- Fiction', 'Short stories', 'Travel -- Fiction']"
Autobiography of Anthony Trollope,Anthony Trollope,1815,1882,460,"['Almshouses -- Fiction', 'Barsetshire (England: Imaginary place) -- Fiction', 'Clergy -- Fiction', 'Domestic fiction', 'Satire']"
Ayala's Angel,Anthony Trollope,1815,1882,44,"['Courtship -- England -- Fiction', 'England -- Social life and customs -- 19th century -- Fiction']"
Barchester Towers,Anthony Trollope,1815,1882,48,"['Barchester (England : Imaginary place) -- Fiction', 'Barsetshire (England: Imaginary place) -- Fiction', 'Clergy -- Fiction', 'Domestic fiction']"
Can You Forgive Her_,Anthony Trollope,1815,1882,430,"['Great Britain -- Social life and customs -- 19th century -- Fiction', 'London (England) -- Fiction', 'Love stories', 'Palliser, Plantagenet (Fictitious character) -- Fiction', 'Political fiction']"
Castle Richmond,Anthony Trollope,1815,1882,161,"['Great Britain -- Fiction', 'Historical fiction', 'Ireland -- Fiction', 'Love stories', 'Social classes -- Fiction']"
Cousin Henry,Anthony Trollope,1815,1882,53,"['Domestic fiction', 'Inheritance and succession -- Fiction', 'Wales -- Fiction']"
Doctor Thorne,Anthony Trollope,1815,1882,271,"['Barsetshire (England: Imaginary place) -- Fiction', 'Country life -- Fiction', 'Domestic fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'Great Britain -- History -- 19th century -- Fiction', 'Inheritance and succession -- Fiction', 'Love stories', 'Nieces -- Fiction', 'Physicians -- Fiction']"
Dr. Wortle's School,Anthony Trollope,1815,1882,49,"['Americans -- England -- Fiction', 'Classicists -- Fiction', 'Domestic fiction', 'England -- Fiction', 'Extortion -- Fiction', 'Married people -- Fiction', 'School principals -- Fiction']"
Framley Parsonage,Anthony Trollope,1815,1882,224,"['Barsetshire (England: Imaginary place) -- Fiction', 'Clergy -- Fiction', 'Domestic fiction']"
George Walker At Suez,Anthony Trollope,1815,1882,20,"['British -- Egypt -- Fiction', 'Short stories']"
Harry Heathcote of Gangoil,Anthony Trollope,1815,1882,32,"['Australia -- Fiction', 'Frontier and pioneer life -- Fiction']"
He Knew He Was Right,Anthony Trollope,1815,1882,201,"['Domestic fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'Husbands -- Fiction', 'Married people -- Fiction', 'Psychological fiction']"
Hunting Sketches,Anthony Trollope,1815,1882,36,"['Essays', 'Fox hunting']"
Is He Popenjoy_,Anthony Trollope,1815,1882,37,"['Domestic fiction', 'Inheritance and succession -- Fiction']"
John Bull on the Guadalquivir from Tales from all Countries,Anthony Trollope,1815,1882,13,"['British -- Spain -- Fiction', 'Courtship -- Fiction', 'Short stories']"
John Caldigate,Anthony Trollope,1815,1882,79,"['Australia -- Fiction', 'England -- Fiction', 'Gold mines and mining -- Fiction']"
Kept in the Dark,Anthony Trollope,1815,1882,41,"['Domestic fiction', 'England -- Fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'Married people -- Fiction']"
La Mere Bauche from Tales of All Countries,Anthony Trollope,1815,1882,14,"['France -- Fiction', 'Mate selection -- Fiction', 'Short stories']"
Lady Anna,Anthony Trollope,1815,1882,26,"['Cumberland (England) -- Fiction', 'Domestic fiction', 'Inheritance and succession -- Fiction', 'Mothers and daughters -- Fiction']"
